Title,Organism,Type,Platform,Samples,Accession,FTP,Processing,Samples
Gene expression data from advanced gastric and colon cancers: tumoral vs. matched non-tumoral tissues,Homo sapiens,Expression profiling by array,GPL5936 88 Samples,88,"GSE38940	ID: 200038940",GEO (GPR) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE38nnn/GSE38940/,,
Expression data from esophageal squamous cell carcinoma patients,Homo sapiens,Expression profiling by array,GPL570 84 Samples,84,"GSE161533	ID: 200161533",GEO (CEL) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE161nnn/GSE161533/,,esophageal squamous cell carcinoma patients
A novel genomic signature predicting FDG uptake in diverse metastatic tumors,Homo sapiens,Expression profiling by array,GPL6480 84 Samples,84,"GSE107754	ID: 200107754",GEO (TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE107nnn/GSE107754/,,
Time course analysis of colon cancer samples (part 2),Homo sapiens,Expression profiling by array,GPL6947 84 Samples,84,"GSE37178	ID: 200037178",GEO (TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE37nnn/GSE37178/,,
Gene expression signature of colorectal cancer with microsatellite instability.,Homo sapiens,Expression profiling by array,GPL570 84 Samples,84,"GSE4554	ID: 200004554",GEO ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE4nnn/GSE4554/,,colorectal cancer with microsatellite instability.
Transcriptional analysis of locally advanced rectal cancer pre-therapeutic biopsies and post-therapeutic resections,Homo sapiens,Expression profiling by array,GPL14951 80 Samples,80,"GSE94104	ID: 200094104",GEO (TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE94nnn/GSE94104/,,
DNA microarray analysis of human colorectal cancer specimens,Homo sapiens,Expression profiling by array,GPL16699 80 Samples,80,"GSE89076	ID: 200089076",GEO (TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE89nnn/GSE89076/,,
Integrative computational biology and molecular determinants of rectal cancer resistance to chemoradiotherapies,Homo sapiens,Expression profiling by array,GPL4133 GPL570 80 Samples,80,"GSE45404	ID: 200045404","GEO (CEL, TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE45nnn/GSE45404/",,Treatment - chemoradiotherapies
Phase II exploratory pharmacogenomics study of cetuximab monotherapy in patients with advanced metastatic CRC,Homo sapiens,Expression profiling by array,GPL571 80 Samples,80,"GSE5851	ID: 200005851",GEO (CEL) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE5nnn/GSE5851/,,
Whole Blood Gene Expression Profiling in Patients Undergoing Laparoscopic Colon Cancer Surgery,Homo sapiens,Expression profiling by array,GPL20265 78 Samples,78,"GSE122626	ID: 200122626","GEO (CEL, TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE122nnn/GSE122626/",,
Exon level expression profiling of colorectal cancer tissue samples (77 samples),Homo sapiens,Expression profiling by array,GPL5188 77 Samples,77,"GSE69182	ID: 200069182","GEO (CEL, CHP) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE69nnn/GSE69182/",,
Expression data from CRC patient-derived organoids,Homo sapiens,Expression profiling by array,GPL17586 76 Samples,76,"GSE128213	ID: 200128213","GEO (CEL, CHP) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE128nnn/GSE128213/",,
Permissivity of the NCI-60 cancer cell lines to oncolytic Vaccinia Virus GLV-1h68,Homo sapiens,Expression profiling by array,GPL13224 76 Samples,76,"GSE28472	ID: 200028472",GEO (TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE28nnn/GSE28472/,,
NanoCMSer: A Clinically Applicable Stratification Tool for Stratification of Colorectal Cancer Samples [II],Homo sapiens,Expression profiling by array,GPL34276 74 Samples,74,"GSE261104	ID: 200261104",GEO (RCC) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE261nnn/GSE261104/,,
A 50-Gene Predictor of Recurrence as a Guide to Therapy in Early-Stage Colon Cancer.,Homo sapiens,Expression profiling by array,GPL6465 73 Samples,73,"GSE10402	ID: 200010402",GEO (GPR) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE10nnn/GSE10402/,,
Consensus molecular subtype transition during progression of colorectal cancer,Homo sapiens,Expression profiling by array,GPL33582 GPL33581 72 Samples,72,"GSE237249	ID: 200237249",GEO (RCC) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE237nnn/GSE237249/,,
Colon cancer,Homo sapiens,Expression profiling by array,GPL10558 GPL6104 72 Samples,72,"GSE74604	ID: 200074604",GEO ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE74nnn/GSE74604/,,
Patient-derived xenograft model identifies clinically relevant subtype-specific features of colorectal cancer,Homo sapiens,Expression profiling by array,GPL13158 71 Samples,71,"GSE103340	ID: 200103340",GEO (CEL) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE103nnn/GSE103340/,,
"Apelin, a novel predictive biomarker for bevacizumab response in colorectal cancer",Homo sapiens,Expression profiling by array,GPL4133 71 Samples,71,"GSE89287	ID: 200089287",GEO (TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE89nnn/GSE89287/,,
Expression data from rectal cancer,Homo sapiens,Expression profiling by array,GPL570 66 Samples,66,"GSE119409	ID: 200119409",GEO (CEL) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE119nnn/GSE119409/,,rectal cancer
Dynamic Transcriptome Analysis Reveal New Prognosis Biomarker in Colorectal Cancer,Homo sapiens; Mus musculus; Human alphaherpesvirus 1; Human betaherpesvirus 5; Human immunodeficiency virus 1; Rattus norvegicus; human gammaherpesvirus 4; JC polyomavirus; Human gammaherpesvirus 8; Betapolyomavirus macacae; Betapolyomavirus hominis,Expression profiling by array; Non-coding RNA profiling by array,GPL7724 GPL6254 66 Samples,66,"GSE41015	ID: 200041015",GEO ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE41nnn/GSE41015/,,
Molecular Evaluation of Patient-Derived Colorectal Cancer Explants as a Pre-clinical Mouse Model of Colorectal Cancer,Homo sapiens,Expression profiling by array,GPL570 64 Samples,64,"GSE35144	ID: 200035144",GEO (CEL) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE35nnn/GSE35144/,,Treatment - radiotherapy
Transcriptome profile of human colorectal adenomas.,Homo sapiens,Expression profiling by array,GPL570 64 Samples,64,"GSE8671	ID: 200008671","GEO (CEL, CHP) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE8nnn/GSE8671/",MASS 5.0,Normal and Colon adenoma
Affymetrix array expression data from colon polyps,Homo sapiens,Expression profiling by array,GPL13158 61 Samples,61,"GSE233602	ID: 200233602",GEO (CEL) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE233nnn/GSE233602/,,
Gene expression analysis of liver and colon cancer primary tumors and metastasis,Homo sapiens,Expression profiling by array,GPL570 61 Samples,61,"GSE40367	ID: 200040367",GEO (CEL) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE40nnn/GSE40367/,, liver and colon cancer primary tumors and metastasis
Candidate driver genes in focal chromosomal aberrations of stage II colon cancer,Homo sapiens,Genome variation profiling by genome tiling array; Expression profiling by array,,61,"GSE17047	ID: 200017047","GEO (PAIR, TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE17nnn/GSE17047/",,
Hsa_circ_102049 promotes liver metastasis of colorectal cancer by up-regulating Fraser extracellular matrix complex subunit 1,Mus musculus; Rattus norvegicus; Homo sapiens,Non-coding RNA profiling by array; Expression profiling by array,GPL19978 GPL21047 GPL18058 60 Samples,60,"GSE147711	ID: 200147711","GEO (GPR, TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE147nnn/GSE147711/",,
"Human Transcriptome Array 2.0 (HTA) from healthy colonic, colorectal adenoma and colorectal cancer tissue",Homo sapiens,Expression profiling by array,GPL17586 60 Samples,60,"GSE100179	ID: 200100179","GEO (CEL, TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE100nnn/GSE100179/",,
Hsa_circ_101555 functions as a competing endogenous RNA of miR-597-5p to promote colorectal cancer progression,Homo sapiens; Mus musculus; Rattus norvegicus,Expression profiling by array; Non-coding RNA profiling by array,GPL18058 GPL21047 GPL19978 60 Samples,60,"GSE126095	ID: 200126095","GEO (GPR, TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE126nnn/GSE126095/",,
Expression data from 30 patients with colorectal cancer,Homo sapiens,Expression profiling by array,GPL570 GPL96 60 Samples,60,"GSE110225	ID: 200110225",GEO (CEL) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE110nnn/GSE110225/, RMA ,30 patients with colorectal cancer and 30 normal
Whole genome expression analysis of clinical bone metastasis samples,Homo sapiens,Expression profiling by array,GPL10558 60 Samples,60,"GSE101607	ID: 200101607",GEO (TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE101nnn/GSE101607/,,
30 paired normal and tumor colorectal samples,Homo sapiens,Expression profiling by array,GPL6104 60 Samples,60,"GSE74602	ID: 200074602",GEO (TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE74nnn/GSE74602/,,
Deciphering cellular states of innate tumor drug responses,Homo sapiens,Expression profiling by array,GPL3282 60 Samples,60,"GSE3964	ID: 200003964",GEO ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE3nnn/GSE3964/,,
microRNA and Gene expression profiles in colorectal cancer stromal tissue,Homo sapiens,Expression profiling by array; Non-coding RNA profiling by array,GPL6480 GPL8227 59 Samples,59,"GSE35602	ID: 200035602",GEO (TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE35nnn/GSE35602/,,
Revealing and harnessing CD39 for the treatment of colorectal cancer and liver metastases by engineered T cells [NanoString],Homo sapiens,Expression profiling by array,GPL19965 58 Samples,58,"GSE200131	ID: 200200131","GEO (RCC, TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE200nnn/GSE200131/",,
Expression data of cultured organoids derived from human colorectal tumors and normal samples.,Homo sapiens,Expression profiling by array,GPL16043 58 Samples,58,"GSE74843	ID: 200074843",GEO (CEL) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE74nnn/GSE74843/,,
LGR5 positivity defines stem-like cells in colorectal cancer,Homo sapiens; Mus musculus,Expression profiling by array; Genome variation profiling by genome tiling array,,58,"GSE46712	ID: 200046712",GEO (TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE46nnn/GSE46712/,,
Specific extracellular matrix remodeling signature of colon hepatic metastases [HG-U133B],Homo sapiens,Expression profiling by array,GPL97 57 Samples,57,"GSE62321	ID: 200062321",GEO (CEL) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE62nnn/GSE62321/,,
Analysis of expression and epigenetic changes in human colorectal cancer and matching mucosa tissues,Homo sapiens,Expression profiling by array; Methylation profiling by genome tiling array; Genome binding/occupancy profiling by genome tiling array,GPL13118 GPL16686 56 Samples,56,"GSE47076	ID: 200047076","GEO (CEL, GFF, PAIR) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE47nnn/GSE47076/",,
Expression data for tumor and normal tissue samples from deceased sepsis and non-sepsis colorectal cancer patients,Homo sapiens,Expression profiling by array,GPL23126 55 Samples,55,"GSE198103	ID: 200198103","GEO (CEL, CHP, TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE198nnn/GSE198103/",,
Consensus Molecular Subtypes of colorectal cancer are recapitulated in in vitro and in vivo models [patient tumors and PDX models],Homo sapiens,Expression profiling by array,GPL13158 55 Samples,55,"GSE100480	ID: 200100480",GEO (CEL) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE100nnn/GSE100480/,,
Epigenomic enhancer profiling defines a signature of colon cancer,Homo sapiens,Expression profiling by array; Genome binding/occupancy profiling by high throughput sequencing,GPL10999 GPL5175 55 Samples,55,"GSE36401	ID: 200036401",GEO (CEL) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE36nnn/GSE36401/,,
Adaptation of a RAS pathway activation signature from FF to FFPE tissues in colorectal cancer (FFPE NanoString),Homo sapiens,Expression profiling by array,GPL22404 54 Samples,54,"GSE86561	ID: 200086561",GEO (RCC) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE86nnn/GSE86561/,,
Adaptation of a RAS pathway activation signature from FF to FFPE tissues in colorectal cancer (FFPE Affymetrix),Homo sapiens,Expression profiling by array,GPL15048 54 Samples,54,"GSE86559	ID: 200086559",GEO (CEL) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE86nnn/GSE86559/,,
Adaptation of a RAS pathway activation signature from FF to FFPE tissues in colorectal cancer (FF Affymetrix),Homo sapiens,Expression profiling by array,GPL15048 54 Samples,54,"GSE86557	ID: 200086557",GEO (CEL) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE86nnn/GSE86557/,,
Quantitative Gene Expression Profiling in Formalin-Fixed Paraffin-Embedded Samples by Affymetrix Microarrays,Homo sapiens,Expression profiling by array,GPL570 GPL571 53 Samples,53,"GSE19249	ID: 200019249",GEO (CEL) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE19nnn/GSE19249/,,"16 FF colon, 7 FFPE colon, 6 FF lung, 8 FFPE lung, 8 FF kidney, and 8 FFPE kidney specimens"
Expression data for 52 microsatellite stable (MSS) primary tumors from patients with proximal colon cancer.,Homo sapiens,Expression profiling by array,GPL5175 52 Samples,52,"GSE63624	ID: 200063624",GEO (CEL) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE63nnn/GSE63624/,,
Early-onset sporadic rectal cancer : Wnt- vs. Wnt+ rectal tumor [GE],Homo sapiens,Expression profiling by array,GPL4133 51 Samples,51,"GSE78250	ID: 200078250",GEO (TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE78nnn/GSE78250/,,
Defining UHRF1 Domains That Support Maintenance of Human Colon Cancer DNA Methylation and Oncogenic Properties,Homo sapiens,Expression profiling by array; Methylation profiling by array,GPL21145 GPL10332 50 Samples,50,"GSE118972	ID: 200118972","GEO (IDAT, TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE118nnn/GSE118972/",,
Combining bevacizumab and chemoradiation in rectal cancer. Translational results of the AXEBeam trial.,Homo sapiens,Expression profiling by array,GPL15207 50 Samples,50,"GSE60331	ID: 200060331",GEO (CEL) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE60nnn/GSE60331/,,
Gene level expression profiling of colorectal cancer tissue samples,Homo sapiens,Expression profiling by array,GPL5175 50 Samples,50,"GSE29638	ID: 200029638","GEO (CEL, CHP) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE29nnn/GSE29638/",,
Gene expression comparison of colorectal cancer samples from patients diagnosed at a young and elderly age,Homo sapiens,Expression profiling by array,GPL2986 50 Samples,50,"GSE25071	ID: 200025071",GEO (TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE25nnn/GSE25071/,,
Exon Array Data for Colerectal Tumor and Normal Samples,Homo sapiens,Expression profiling by array,GPL5188 49 Samples,49,"GSE50421	ID: 200050421",GEO ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE50nnn/GSE50421/,,
Expression data from human MSI colorectal cancer and normal colonic mucosa,Homo sapiens,Expression profiling by array,GPL96 49 Samples,49,"GSE24514	ID: 200024514","GEO (CEL, CHP) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE24nnn/GSE24514/",,
Gene expression profiling of colorectal cancer liver metastases from liver transplantation.,Homo sapiens,Expression profiling by array,GPL17586 48 Samples,48,"GSE282186	ID: 200282186","GEO (CEL, CHP) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE282nnn/GSE282186/",,
Consensus molecular subtype transition during progression of colorectal cancer [NanoClassifier Gene Set],Homo sapiens,Expression profiling by array,GPL33581 48 Samples,48,"GSE237247	ID: 200237247",GEO (RCC) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE237nnn/GSE237247/,,
Gene Expression Changes in the Duodenal Adenoma-Carcinoma Sequence in Familial Adenomatous Polyposis (FAP),Homo sapiens,Expression profiling by array,GPL17586 48 Samples,48,"GSE111156	ID: 200111156","GEO (CEL, CHP, XLS) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE111nnn/GSE111156/",,
Prediction of sensitivity of rectal cancer cells in response to preoperative chemoradiotherapy by DNA microarray analysis of gene expression profiles.,Homo sapiens,Expression profiling by array,GPL570 46 Samples,46,"GSE35452	ID: 200035452",GEO (CEL) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE35nnn/GSE35452/,,Treatment - chemoradiotherapy
Rectal Cancer Cells and Radiation-sensitivity,Homo sapiens,Expression profiling by array,GPL8300 46 Samples,46,"GSE3493	ID: 200003493",GEO ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE3nnn/GSE3493/,,
miR-193a-3p is a key tumor-suppressor in ulcerative colitis-associated colon cancer and promotes carcinogenesis through regulation of IL17RD.,Homo sapiens,Expression profiling by array; Other,GPL20111 45 Samples,45,"GSE68306	ID: 200068306",GEO (TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE68nnn/GSE68306/,,
"Screening for Epigenetically Masked Genes in Colorectal Cancer using 5-aza-2’-deoxycytidine treatment, Microarray and Gene Expression Profile",Homo sapiens,Expression profiling by array,GPL570 44 Samples,44,"GSE32323	ID: 200032323",GEO (CEL) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE32nnn/GSE32323/,,Treatment - deoxycytidine
Macrodissection versus Microdissection of Rectal Carcinoma: Minor Influence of Stroma to Tumor Gene Profiles,Homo sapiens,Expression profiling by array,GPL2130 44 Samples,44,"GSE2738	ID: 200002738",GEO ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE2nnn/GSE2738/,,
MeCP2 regulates genome-wide gene expression through recognition of H3K27me3,Mus musculus; Homo sapiens,Genome binding/occupancy profiling by high throughput sequencing; Expression profiling by array; Methylation profiling by high throughput sequencing,,43,"GSE122366	ID: 200122366","GEO (BW, RCC, TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE122nnn/GSE122366/",,
Establishment of objective criteria for selecting relevant intestinal cell-based models,Homo sapiens,Expression profiling by array,GPL570 43 Samples,43,"GSE30292	ID: 200030292",GEO (CEL) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE30nnn/GSE30292/,, intestinal cell-based models
Evaluating the gene expression of frozen tissue-derived prognostic signatures in FFPE colorectal cancer samples,Homo sapiens,Expression profiling by array,GPL21509 42 Samples,42,"GSE78248	ID: 200078248","GEO (RCC, TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE78nnn/GSE78248/",,
LGR5 positivity defines stem-like cells in colorectal cancer [Expression],Homo sapiens; Mus musculus,Expression profiling by array,GPL7202 GPL13497 42 Samples,42,"GSE46200	ID: 200046200",GEO (TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE46nnn/GSE46200/,,
New specific molecular targets for radiochemotherapy in colorectal cancer,Homo sapiens,Expression profiling by array,GPL2986 42 Samples,42,"GSE15781	ID: 200015781",GEO (TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE15nnn/GSE15781/,,
Functionally relevant prediction model for colorectal cancer,Homo sapiens,Expression profiling by array,GPL5175 41 Samples,41,"GSE77434	ID: 200077434",GEO (CEL) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE77nnn/GSE77434/,,
Expression data of Familial adenomatous polyposis (FAP) organoids,Homo sapiens,Expression profiling by array,GPL570 40 Samples,40,"GSE109812	ID: 200109812",GEO (CEL) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE109nnn/GSE109812/,, Familial adenomatous polyposis (FAP) organoids
Heterogeneous expression of zinc-finger E-box-binding homeobox 1 plays a pivotal role in metastasis via regulation of miR-200c in epithelial-mesenchymal transition,Homo sapiens,Expression profiling by array,GPL16699 40 Samples,40,"GSE75117	ID: 200075117",GEO (TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE75nnn/GSE75117/,,
Enrichment of inflammatory bowel disease and colorectal cancer risk variants in colon expression quantitative trait loci,Homo sapiens,Expression profiling by array,GPL10558 40 Samples,40,"GSE56789	ID: 200056789",GEO (TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE56nnn/GSE56789/,,
Prediction of response to FOLFOX,Homo sapiens,Expression profiling by array,GPL570 40 Samples,40,"GSE19860	ID: 200019860",GEO (CEL) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE19nnn/GSE19860/,,Treatment - FOLFOX
Expression data of colon cancer by conventional microarray and by suppressive subtractive hybridization coupled to microarray,Homo sapiens,Expression profiling by array,GPL5936 40 Samples,40,"GSE38939	ID: 200038939",GEO (GPR) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE38nnn/GSE38939/,,
Pre-existing tumoral B cell infiltration and impaired genome maintenance correlate with response to chemoradiotherapy in locally advanced rectal cancer (LARC),Homo sapiens,Expression profiling by array,GPL13497 39 Samples,39,"GSE150082	ID: 200150082",GEO (TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE150nnn/GSE150082/,,
Clinical significance of UNC5B Expression in Colorectal Cancer,Homo sapiens,Expression profiling by array,GPL570 38 Samples,38,"GSE22598	ID: 200022598",GEO (CEL) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE22nnn/GSE22598/,RMA,"17 pairs of cancer and non-cancerous tissues from colorectal cancer patients,HT29 cell line, control, 5aza treated"
NanoCMSer: A Clinically Applicable Stratification Tool for Stratification of Colorectal Cancer Samples,Homo sapiens,Expression profiling by array,GPL34276 37 Samples,37,"GSE260968	ID: 200260968",GEO (RCC) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE260nnn/GSE260968/,,
Prospective derivation of a 'Living Organoid Biobank' of colorectal cancer patients,Homo sapiens,Expression profiling by array,GPL16686 37 Samples,37,"GSE64392	ID: 200064392",GEO (CEL) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE64nnn/GSE64392/,,
Oncogenic transcription factor targets,Homo sapiens,Expression profiling by array,GPL570 36 Samples,36,"GSE294689	ID: 200294689","GEO (CEL, TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE294nnn/GSE294689/",,Cancer cell lines were treated
Canonical BMP signaling executes epithelial-mesenchymal transition downstream of SNAIL1,Homo sapiens,Expression profiling by array,GPL10558 36 Samples,36,"GSE143297	ID: 200143297",GEO (IDAT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE143nnn/GSE143297/,,
Transcriptomic changes in signet ring cell colorectal cancer,Homo sapiens,Expression profiling by array,GPL14951 36 Samples,36,"GSE79793	ID: 200079793",GEO (TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE79nnn/GSE79793/,,
Expression data of epithelial organoid cultures generated from intestinal mucosa of non-IBD controls and patients with ulcerative colitis,Homo sapiens,Expression profiling by array,GPL20650 36 Samples,36,"GSE75916	ID: 200075916",GEO (CEL) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE75nnn/GSE75916/,,
TGFβ signaling directs serrated adenomas to the mesenchymal colorectal cancer subtype,Homo sapiens,Expression profiling by array,GPL13158 36 Samples,36,"GSE79462	ID: 200079462",GEO (CEL) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE79nnn/GSE79462/,,
Gene Expression Profiles of 4 CRC PDX models treated by RSPO3 antagonist.,Homo sapiens,Expression profiling by array,GPL570 36 Samples,36,"GSE73906	ID: 200073906",GEO (CEL) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE73nnn/GSE73906/,, 4 CRC PDX models 
Gene expression signature and the prediction of recurrence in stage III colorectal cancer by DNA microarray,Homo sapiens,Expression profiling by array,GPL570 36 Samples,36,"GSE4526	ID: 200004526",GEO ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE4nnn/GSE4526/,,recurrence in stage III colorectal cancer
Gene expression data from colorectal cancers,Homo sapiens,Expression profiling by array,GPL5175 35 Samples,35,"GSE106535	ID: 200106535",GEO (CEL) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE106nnn/GSE106535/,,
"A new classification of chromosome instability (CIN) phenotype, CIN-high and CIN-low",Homo sapiens,Expression profiling by array,GPL570 35 Samples,35,"GSE30540	ID: 200030540",GEO (CEL) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE30nnn/GSE30540/,," instability (CIN) phynotype, CIN-high and CIN-low"
A Low-Cost Multiplex Biomarker Assay Stratifies Colorectal Cancer Patient Samples into Clinically-Relevant Subtypes: Standard Chemistry,Homo sapiens,Expression profiling by array,GPL23782 34 Samples,34,"GSE101479	ID: 200101479",GEO (RCC) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE101nnn/GSE101479/,,
Expression data from 17 patients with colorectal cancer,Homo sapiens,Expression profiling by array,GPL570 34 Samples,34,"GSE110224	ID: 200110224",GEO (CEL) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE110nnn/GSE110224/,RMA ,confirmed colorectal adenocarcinomas tumor and normal colon were removed during surgery
Expression profiling of colorectal cancer (CRC) tissue samples with microsatellite instability (MSI),Homo sapiens,Expression profiling by array,GPL17586 34 Samples,34,"GSE79959	ID: 200079959","GEO (CEL, CHP) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE79nnn/GSE79959/",,
PINT lincRNA connects the p53 pathway with epigenetic silencing by the Polycomb Repressive Complex 2,Mus musculus; Homo sapiens,Expression profiling by array,GPL6246 GPL14550 34 Samples,34,"GSE46272	ID: 200046272","GEO (CEL, TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE46nnn/GSE46272/",,
Carcinoma-associated fibroblasts’ transcriptomic program predicts clinical outcome in stage II/III colorectal cancer,Homo sapiens,Expression profiling by array,GPL6244 34 Samples,34,"GSE46824	ID: 200046824",GEO (CEL) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE46nnn/GSE46824/,,
NanoCMSer: A Clinically Applicable Stratification Tool for Stratification of Colorectal Cancer Samples [IV],Homo sapiens,Expression profiling by array,GPL34276 33 Samples,33,"GSE261108	ID: 200261108",GEO (RCC) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE261nnn/GSE261108/,,
Locally advanced rectal cancer transcriptomic-based secretome analysis according to neoadjuvant chemoradiotherapy response,Homo sapiens,Expression profiling by array,GPL17586 33 Samples,33,"GSE123390	ID: 200123390",GEO (CEL) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE123nnn/GSE123390/,,
"A new classification of chromosome instability (CIN) phynotype, CIN-high and CIN-low (validation dataset)",Homo sapiens,Expression profiling by array,GPL570 33 Samples,33,"GSE34489	ID: 200034489",GEO (CEL) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE34nnn/GSE34489/,," instability (CIN) phynotype, CIN-high and CIN-low (validation dataset)"
Transcriptome Signature Post Reovirus Treatment In KRAS Mutated Colorectal Cancer,Homo sapiens,Expression profiling by array,GPL23126 32 Samples,32,"GSE173636	ID: 200173636","GEO (CEL, XLSX) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE173nnn/GSE173636/",,
Generation of a monoclonal antibody recognizing the CEACAM glycan structure and inhibiting adhesion using cancer tissue-originated spheroid as an antigen,Homo sapiens,Expression profiling by array,GPL13607 32 Samples,32,"GSE76405	ID: 200076405",GEO (TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE76nnn/GSE76405/,,
