Title,Organism,Type,Platform,Samples,Accession,FTP,Data Processing,Samples,
"Transcriptional analysis of left-sided colitis, pancolitis and ulcerative colitis-associated dysplasia",Homo sapiens,Expression profiling by array,GPL570 60 Samples,60,"GSE47908	ID: 200047908",GEO (CEL) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE47nnn/GSE47908/,RMA (UC with dysplasia),"HC,LSC,PC,UCD",
Mucosal Single-Cell Profiling of Crohn's-Like Disease of the Pouch Reveals Unique Pathogenesis and Therapeutic Targets,Homo sapiens,Expression profiling by high throughput sequencing; Other,GPL24676 59 Samples,59,"GSE246987	ID: 200246987","GEO (CSV, MTX, TSV, TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE246nnn/GSE246987/",,,
Transcriptomic analysis reveals the dynamic changes of immune responses during the development of creeping fat in Crohn's disease,Homo sapiens,Expression profiling by high throughput sequencing,GPL16791 59 Samples,59,"GSE227376	ID: 200227376",GEO (TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE227nnn/GSE227376/,,,
"Human colon expression in healthy controls, colon-only CD, ileo-colonic CD, and UC",Homo sapiens,Expression profiling by array,GPL5760 58 Samples,58,"GSE10616	ID: 200010616",GEO (CEL) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE10nnn/GSE10616/,,,
Elevation in cell cycle and protein metabolism gene transcription in inactive colonic tissue from Icelandic patients with ulcerative colitis,Homo sapiens,Expression profiling by array,GPL10558 57 Samples,57,"GSE105074	ID: 200105074",GEO (TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE105nnn/GSE105074/,,,
Characterization of LncRNA BC012900 among long non-coding RNAs differentially expressed in ulcerative colitis,Homo sapiens,Non-coding RNA profiling by array,GPL20830 57 Samples,57,"GSE72221	ID: 200072221",GEO (TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE72nnn/GSE72221/,,,
Bulk RNAseq expression data of colon biopsies from intestinal mucosa of non-IBD controls and patients with Crohn's disease or ulcerative colitis,Homo sapiens,Expression profiling by high throughput sequencing,GPL21290 56 Samples,56,"GSE235236	ID: 200235236",GEO (RESULTS) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE235nnn/GSE235236/,,,
Anti-apoptotic genes and non-coding RNAs are potential outcome predictors for ulcerative colitis,Homo sapiens,Expression profiling by high throughput sequencing,GPL16791 56 Samples,56,"GSE169360	ID: 200169360",GEO (TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE169nnn/GSE169360/,,,
Molecular patterns in human ulcerative colitis and correlation with response to infliximab,Homo sapiens,Expression profiling by array,GPL15207 56 Samples,56,"GSE51785	ID: 200051785",GEO (CEL) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE51nnn/GSE51785/,,,
Genome-wide gene expression analysis of mucosal colonic biopsies and isolated colonocytes...,Homo sapiens,Expression profiling by array,GPL570 56 Samples,56,"GSE13367	ID: 200013367",GEO (CEL) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE13nnn/GSE13367/,RMA normalized,"UC inflamed , non-inflamed, control",
Responsiveness to vedolizumab therapy in ulcerative colitis is associated with alterations in immune cell-cell communications,Homo sapiens,Expression profiling by high throughput sequencing,GPL24676 54 Samples,54,"GSE228165	ID: 200228165",GEO (RDS) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE228nnn/GSE228165/,,,
EFFECT OF A NOVEL PROBIOTIC PREPARATION ON INDUCTION AND MAINTENANCE OF REMISSION IN ULCERATIVE COLITIS PATIENTS: A DOUBLE-BLIND PLACEBO CONTROLLED TRIAL,Homo sapiens,Expression profiling by array,GPL6244 54 Samples,54,"GSE50594	ID: 200050594",GEO (CEL) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE50nnn/GSE50594/,,,
Transcriptome analysis of human colonic organoids infected SARS-CoV-2,Homo sapiens,Expression profiling by high throughput sequencing,GPL24676 53 Samples,53,"GSE179949	ID: 200179949",GEO (TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE179nnn/GSE179949/,,,
"Inflammation, adenoma and cancer: objective classification of colon biopsy specimens with gene expression signature",Homo sapiens,Expression profiling by array,GPL570 53 Samples,53,"GSE4183	ID: 200004183",GEO (CEL) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE4nnn/GSE4183/,MASS 5.0,"colon_normal, colon_adenoma, colon_CRC, colon_IBD",
The unexpected role of HBx in UC,Homo sapiens,Genome binding/occupancy profiling by high throughput sequencing; Expression profiling by high throughput sequencing,GPL16791 52 Samples,52,"GSE204665	ID: 200204665","GEO (BED, TSV) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE204nnn/GSE204665/",,,
Analysis of rectal transcriptome in ulcerative colitis (UC) patients who received tofacitinib,Homo sapiens,Expression profiling by high throughput sequencing,GPL24676 51 Samples,51,"GSE245890	ID: 200245890",GEO (XLSX) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE245nnn/GSE245890/,,,
Transcriptomic profiles of biopsy-derived colon epithelial organoids from pediatric patients with ulcerative colitis,Homo sapiens,Expression profiling by high throughput sequencing,GPL24676 48 Samples,48,"GSE276170	ID: 200276170",GEO (TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE276nnn/GSE276170/,,,
DNA methyltransferase 3A controls intestinal epithelial barrier function and regeneration in the colon [Array],Homo sapiens; Mus musculus,Methylation profiling by genome tiling array,GPL31950 GPL21145 48 Samples,48,"GSE210721	ID: 200210721",GEO (IDAT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE210nnn/GSE210721/,,,
UC Colon RNAseq subset analysis,Homo sapiens,Expression profiling by high throughput sequencing,GPL18573 48 Samples,48,"GSE107593	ID: 200107593",GEO (TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE107nnn/GSE107593/,,,
Mucosal expression profiling in (un)inflamed colon of patients with ulcerative colitis (UC),synthetic construct; Homo sapiens,Expression profiling by array; Non-coding RNA profiling by array,GPL14613 GPL6244 48 Samples,48,"GSE48959	ID: 200048959",GEO (CEL) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE48nnn/GSE48959/,,,
DNA methylation in peripheral blood from individuals with Crohns' disease or ulcerative colitis and normal controls,Homo sapiens,Methylation profiling by genome tiling array,GPL13534 48 Samples,48,"GSE32148	ID: 200032148",GEO (TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE32nnn/GSE32148/,,,
Plasma induced signatures reveal an extracellular milieu possessing an immunoregulatory bias in treatment naïve inflammatory bowel disease,Homo sapiens,Expression profiling by array,GPL570 47 Samples,47,"GSE71730	ID: 200071730",GEO (CEL) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE71nnn/GSE71730/,,Plasma signatures,
"Circulating miR 218-5p, alone or in combination, predicts corticosteroid failure in ulcerative colitis. Study through computational strategies based on Systems Biology.",Homo sapiens,Non-coding RNA profiling by high throughput sequencing,GPL16791 46 Samples,46,"GSE122618	ID: 200122618",GEO (XLSX) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE122nnn/GSE122618/,,,
Inflammatory transcriptomic signatures and cell type compositions in inflamed and non-inflamed colonic mucosa of ulcerative colitis,Homo sapiens,Expression profiling by high throughput sequencing,GPL16791 45 Samples,45,"GSE243625	ID: 200243625",GEO (TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE243nnn/GSE243625/,,,
Epigenetic inactivation of the autophagy-lysosomal system in the Parkinson’s disease appendix (3: Mice_DSS),Homo sapiens,Methylation profiling by high throughput sequencing,GPL16791 45 Samples,45,"GSE135744	ID: 200135744",GEO (TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE135nnn/GSE135744/,,,
miR-193a-3p is a key tumor-suppressor in ulcerative colitis-associated colon cancer and promotes carcinogenesis through regulation of IL17RD.,Homo sapiens,Expression profiling by array; Other,GPL20111 45 Samples,45,"GSE68306	ID: 200068306",GEO (TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE68nnn/GSE68306/,,,
Transcriptomic profiling of collagenous colitis identifies hallmarks of non-destructive inflammatory bowel disease [Whole mucosa],Homo sapiens,Expression profiling by high throughput sequencing,GPL20301 44 Samples,44,"GSE159008	ID: 200159008",GEO (TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE159nnn/GSE159008/,,,
Transcriptional signatures that define Ulcerative Colitis in remission,Homo sapiens,Expression profiling by high throughput sequencing,GPL21697 44 Samples,44,"GSE128682	ID: 200128682","GEO (TAB, TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE128nnn/GSE128682/",,,
Short Noncoding RNAs as predictive biomarkers for the development from Inflammatory Bowel Disease Unclassified to Crohn’s Disease or Ulcerative Colitis,synthetic construct; Homo sapiens,Non-coding RNA profiling by array,GPL19117 43 Samples,43,"GSE228622	ID: 200228622",GEO ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE228nnn/GSE228622/,,,
"MUCOSAL EXPRESSION OF GENES PI3, ANXA1, AND VDR DESCRIMINATES CROHN’S DISEASE FROM ULCERATIVE COLITIS IN INFLAMMATORY BOWEL DISEASE PATIENTS",Homo sapiens,Expression profiling by high throughput sequencing,GPL23934 43 Samples,43,"GSE222070	ID: 200222070",GEO (CSV) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE222nnn/GSE222070/,,,
lncRNA atlas of inflammatory diseases along the GI tract highlights regulatory mitochondrial metabolic epithelial functions of GATA6-AS1,Homo sapiens,Expression profiling by high throughput sequencing; Non-coding RNA profiling by high throughput sequencing,GPL24676 43 Samples,43,"GSE199906	ID: 200199906",GEO (TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE199nnn/GSE199906/,,,
Expression data from intestinal mucosa of patients with UC,Homo sapiens,Expression profiling by array,GPL570 43 Samples,43,"GSE38713	ID: 200038713",GEO (CEL) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE38nnn/GSE38713/,,inclusion and exclusion of concomitant infection,"43 biopsies were analyzed: 13 healthy controls, 8 inactive UC, 7 non-involved active UC and 15 involved active UC."
Integrated analysis Of Biopsies From Inflammatory Bowel Disease Patients Identifies SAA1 As A Link Between Mucosal Microbes With TH17 And TH22 Cells [diseased subjects],Homo sapiens,Expression profiling by array,GPL13607 41 Samples,41,"GSE96665	ID: 200096665",GEO (TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE96nnn/GSE96665/,,,
Differential Gene Expression between Active and Quiescent Stages of Ulcerative Colitis: Insights into a Distinctive Pathogenesis Profile,Homo sapiens,Expression profiling by array,GPL14951 40 Samples,40,"GSE53306	ID: 200053306",GEO (TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE53nnn/GSE53306/,,,
Methylation profiling in Ulcerative colitis,Homo sapiens,Methylation profiling by array; Methylation profiling by genome tiling array,GPL13269 GPL8490 40 Samples,40,"GSE27899	ID: 200027899",GEO (TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE27nnn/GSE27899/,,,
Gene expression changes associated with resistance to intravenous corticosteroid therapy in children with severe ulcerative colitis,Homo sapiens,Expression profiling by array,GPL6244 40 Samples,40,"GSE21231	ID: 200021231",GEO (CEL) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE21nnn/GSE21231/,,,
Identifying new pronostic markers of IBD,Homo sapiens,Expression profiling by high throughput sequencing,GPL20301 39 Samples,39,"GSE174159	ID: 200174159",GEO (TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE174nnn/GSE174159/,,,
Tauroursodeoxycholic Acid (TUDCA) Reduces ER Stress and Lessens Disease Activity in Ulcerative Colitis,Homo sapiens,Expression profiling by high throughput sequencing,GPL24676 38 Samples,38,"GSE266963	ID: 200266963",GEO (TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE266nnn/GSE266963/,,,
A systems biology approach identifies ANP32E and other biomarkers of glucocorticoid refractoriness in ulcerative colitis [miRNA-Seq],Homo sapiens,Non-coding RNA profiling by high throughput sequencing,GPL15456 38 Samples,38,"GSE114591	ID: 200114591",GEO (TSV) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE114nnn/GSE114591/,,,
A systems biology approach identifies ANP32E and other biomarkers of glucocorticoid refractoriness in ulcerative colitis [microarray],Homo sapiens,Expression profiling by array,GPL14951 38 Samples,38,"GSE114527	ID: 200114527",GEO (TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE114nnn/GSE114527/,,,
"Gene expression patterns of biopsies from colonoscopies taken in 2007, 2008, and 2009 of an ulcerative colitis patient infected with Trichuris trichiura",Homo sapiens,Expression profiling by array,GPL5621 38 Samples,38,"GSE25510	ID: 200025510",GEO (GPR) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE25nnn/GSE25510/,,,
Novel MicroRNA Signature to Differentiate Ulcerative Colitis from Crohn Disease: A Genome-Wide Study Using Next Generation Sequencing,Homo sapiens,Non-coding RNA profiling by high throughput sequencing,GPL16791 37 Samples,37,"GSE89667	ID: 200089667",GEO (XLS) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE89nnn/GSE89667/,,,
Colonic mucosal injury responses,Homo sapiens,Expression profiling by high throughput sequencing,GPL24676 36 Samples,36,"GSE164918	ID: 200164918",GEO (TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE164nnn/GSE164918/,,,
Patient derived colonoids as drug testing platforms - critical importance of oxygen concentration,Homo sapiens,Expression profiling by high throughput sequencing,GPL20301 36 Samples,36,"GSE172404	ID: 200172404",GEO (SF) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE172nnn/GSE172404/,,,
Expression data of epithelial organoid cultures generated from intestinal mucosa of non-IBD controls and patients with ulcerative colitis,Homo sapiens,Expression profiling by array,GPL20650 36 Samples,36,"GSE75916	ID: 200075916",GEO (CEL) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE75nnn/GSE75916/,,,
HSPA6 is an ulcerative colitis susceptibility factor that is induced by cigarette smoke and protects intestinal epithelial cells by stabilizing anti-apoptotic Bcl-XL,Homo sapiens,Expression profiling by array,GPL10558 36 Samples,36,"GSE72163	ID: 200072163",GEO (TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE72nnn/GSE72163/,,,
Pouch transcriptional differences between UC and FAP indicate altered immune response.,Homo sapiens,Expression profiling by array,GPL10558 36 Samples,36,"GSE50788	ID: 200050788",GEO (TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE50nnn/GSE50788/,,,
Genome-wide gene expression differences between Crohn’s and ulcerative colitis from endoscopic pinch biopsies: ,Homo sapiens,Expression profiling by array,GPL8300 36 Samples,36,"GSE6731	ID: 200006731","GEO (CEL, EXP) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE6nnn/GSE6731/",,,
Genome-wide analysis of Crohn's disease and ulcerative colitis biopsy samples.,Homo sapiens,Expression profiling by array,GPL570 35 Samples,35,"GSE36807	ID: 200036807",GEO (CEL) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE36nnn/GSE36807/,RMA method,"CD,UC,HC",
Transcriptomic profiling of collagenous colitis identifies hallmarks of non-destructive inflammatory bowel disease [Microdissected IEC],Homo sapiens,Expression profiling by high throughput sequencing,GPL20301 34 Samples,34,"GSE159007	ID: 200159007",GEO (TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE159nnn/GSE159007/,,,
In vivo gene expression profile of human intestinal epithelial cells: from the viewpoint of drug metabolism and pharmacokinetics,Homo sapiens,Expression profiling by high throughput sequencing,GPL20301 33 Samples,33,"GSE156453	ID: 200156453",GEO (XLSX) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE156nnn/GSE156453/,,,
"Human colon expression in healthy, CD, treated CD, and UC",Homo sapiens,Expression profiling by array,GPL5760 33 Samples,33,"GSE9686	ID: 200009686",GEO (CEL) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE9nnn/GSE9686/,,,
Gene and miRNA expression data from a cohort of Chilean Ulcerative Colitis human intestinal samples,Homo sapiens; synthetic construct,Non-coding RNA profiling by array; Expression profiling by array,GPL4133 GPL19117 32 Samples,32,"GSE133061	ID: 200133061","GEO (CEL, CHP, TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE133nnn/GSE133061/",,,
Expression profiling in inflammatory bowel disease,Homo sapiens,Expression profiling by array,GPL284 31 Samples,31,"GSE1710	ID: 200001710",GEO ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE1nnn/GSE1710/,,,
Inflammatory Bowel Disease-specific alterations in adipose-derived stroma cell transcriptional profiles,Homo sapiens,Expression profiling by array,GPL16956 30 Samples,30,"GSE102524	ID: 200102524","GEO (TXT, XLS) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE102nnn/GSE102524/",,,
Gene expression signature and mitochondrial DNA copy number variation in ulcerative colitis patients,Homo sapiens,Expression profiling by array,GPL570 30 Samples,30,"GSE74265	ID: 200074265",GEO (CEL) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE74nnn/GSE74265/,,30 UC samples,mtDNA-Low and mtDNA-High
Mucosal gene signatures to predict response to infliximab in patients with ulcerative colitis,Homo sapiens,Expression profiling by array,GPL570 30 Samples,30,"GSE14580	ID: 200014580",GEO (CEL) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE14nnn/GSE14580/,,Treatment - infliximab,
Dynamics and single-cell transcriptomics of circulating immune cell populations in inflammatory bowel disease upon anti-integrin treatment,Homo sapiens,Expression profiling by high throughput sequencing,GPL24676 29 Samples,29,"GSE261334	ID: 200261334","GEO (CSV, H5, TSV) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE261nnn/GSE261334/",,,
Gene expression of microdissected colon epithelium,Homo sapiens,Expression profiling by high throughput sequencing,GPL16791 29 Samples,29,"GSE179128	ID: 200179128",GEO (TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE179nnn/GSE179128/,,,
Stem-like T cells are associated with the pathogenesis of ulcerative colitis in humans,Homo sapiens; Mus musculus,Expression profiling by high throughput sequencing,GPL34328 GPL24247 GPL24676 28 Samples,28,"GSE235665	ID: 200235665",GEO ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE235nnn/GSE235665/,,,
Tissue-specific reprogramming leads to angiogenic neutrophil specialization and tumor vascularization in colorectal cancer,Mus musculus; Homo sapiens,Expression profiling by high throughput sequencing,GPL20301 GPL21103 28 Samples,28,"GSE232217	ID: 200232217",GEO (TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE232nnn/GSE232217/,,,
Intestinal macrophage mRNA sequencing of patients with colonic inflammatory bowel disease and a cohort of healthy controls,Homo sapiens,Expression profiling by high throughput sequencing,GPL16791 28 Samples,28,"GSE123141	ID: 200123141",GEO (TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE123nnn/GSE123141/,,,
Expression data from colonic mucosal biopsies from healthy controls and patients with active ulcerative colitis,Homo sapiens,Expression profiling by array,GPL16686 28 Samples,28,"GSE65114	ID: 200065114","GEO (CEL, CHP) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE65nnn/GSE65114/",,,
Mucosal miRNA expression profiling in (un)inflamed colon of patients with ulcerative colitis (UC),synthetic construct; Homo sapiens,Non-coding RNA profiling by array,GPL14613 27 Samples,27,"GSE48957	ID: 200048957",GEO (CEL) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE48nnn/GSE48957/,,,
Defective Integrator activity shapes the transcriptome of patients with multiple sclerosis: patient data,Homo sapiens,Expression profiling by high throughput sequencing,GPL24676 26 Samples,26,"GSE249613	ID: 200249613","GEO (BW, TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE249nnn/GSE249613/",,,
Physiomimetic model of the human Gut-Liver axis for studies of inflammatory diseases,Homo sapiens,Expression profiling by high throughput sequencing,GPL11154 26 Samples,26,"GSE135428	ID: 200135428",GEO (TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE135nnn/GSE135428/,,,
Transcriptional Survey of Ileal-Anal Pouch Immune Cells from Ulcerative Colitis,Homo sapiens,Expression profiling by high throughput sequencing,GPL20301 26 Samples,26,"GSE162335	ID: 200162335","GEO (MTX, TSV, TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE162nnn/GSE162335/",,,
Elevated colonic mucin expression correlates with extended time to surgery for ulcerative colitis patients,Homo sapiens,Expression profiling by high throughput sequencing,GPL16791 26 Samples,26,"GSE130038	ID: 200130038",GEO (XLSX) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE130nnn/GSE130038/,,,
Definition of an ulcerative colitis preinflammatory state,Homo sapiens,Expression profiling by array,GPL570 26 Samples,26,"GSE9452	ID: 200009452",GEO (CEL) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE9nnn/GSE9452/,RMA,"UC,qUC,HC",
DNA methylation in a discovery cohort of colon mucosa samples from individuals with Crohns' disease or ulcerative colitis and normal controls,Homo sapiens,Methylation profiling by genome tiling array,GPL13534 25 Samples,25,"GSE32146	ID: 200032146",GEO (TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE32nnn/GSE32146/,,,
Divergent spatial microdomains drive inflammation and repair in Ulcerative and Immune Checkpoint Therapy Colitis - CD3 scRNA-Seq,Homo sapiens,Expression profiling by high throughput sequencing; Other,GPL24676 GPL18573 24 Samples,24,"GSE189040	ID: 200189040",GEO (ZIP) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE189nnn/GSE189040/,,,
Multiomic analysis reveals cellular and epigenetic plasticity in intestinal pouches of ulcerative colitis patients,Homo sapiens,Expression profiling by high throughput sequencing; Genome binding/occupancy profiling by high throughput sequencing,GPL24676 24 Samples,24,"GSE242087	ID: 200242087","GEO (MTX, TBI, TSV) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE242nnn/GSE242087/",,,
Differential effects of tofacitinib on macrophage activation contribute to lack of response in ulcerative colitis patients,Homo sapiens,Expression profiling by high throughput sequencing,GPL18573 23 Samples,23,"GSE253006	ID: 200253006","GEO (MTX, TSV) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE253nnn/GSE253006/",,,
Global gene expression profiles of freshly isolated control and treatment naive pediatric IBD colonic biopsies,Homo sapiens,Expression profiling by high throughput sequencing,GPL24676 23 Samples,23,"GSE266325	ID: 200266325",GEO (TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE266nnn/GSE266325/,,,
Digital Spatial Profiling Reveals Functional Shift of Enterochromaffin Cell in Patients with Ulcerative Colitis,Homo sapiens,Expression profiling by high throughput sequencing; Other,GPL24676 23 Samples,23,"GSE183853	ID: 200183853",GEO (CSV) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE183nnn/GSE183853/,,,
"The genomic landscape of colitis-associated colorectal carcinomas is dominated by TP53 mutations, aneuploidy and gains of chromosome arm 5p",Homo sapiens,Genome variation profiling by genome tiling array,GPL10123 23 Samples,23,"GSE156076	ID: 200156076",GEO (TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE156nnn/GSE156076/,,,
DNA methylation in a validation cohort of colon mucosa samples from individuals with Crohns' disease or ulcerative colitis and normal controls,Homo sapiens,Methylation profiling by genome tiling array,GPL13534 23 Samples,23,"GSE42921	ID: 200042921",GEO (TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE42nnn/GSE42921/,,,
A Predictive Response Signature to Infliximab Treatment in Ulcerative Colitis,Homo sapiens,Expression profiling by array,GPL570 23 Samples,23,"GSE12251	ID: 200012251",GEO (CEL) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE12nnn/GSE12251/,,Treatment - Infliximab,
Human colon expression in healthy controls and UC,Homo sapiens,Expression profiling by array,GPL5760 23 Samples,23,"GSE10191	ID: 200010191",GEO (CEL) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE10nnn/GSE10191/,,,
Single-cell analysis reveals clonal expansions of pro-inflammatory tissue-resident memory Th17 cells in Crohn's disease,Homo sapiens,Expression profiling by high throughput sequencing,GPL24676 22 Samples,22,"GSE247264	ID: 200247264","GEO (MTX, TSV) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE247nnn/GSE247264/",,,
Gene expression profiling of colon biopsies from ulcerative colitis patients and healthy volunteers,Homo sapiens,Expression profiling by high throughput sequencing,GPL16791 22 Samples,22,"GSE224758	ID: 200224758",GEO (CSV) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE224nnn/GSE224758/,,,
Transcriptomic profiling of lymphocytic colitis highlights distinct diarrhoeal pathomechanisms,Homo sapiens,Expression profiling by high throughput sequencing,GPL24676 22 Samples,22,"GSE245764	ID: 200245764",GEO (TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE245nnn/GSE245764/,,,
miRNA expression in human colitis-associated dysplasia,Homo sapiens,Non-coding RNA profiling by array,GPL32502 22 Samples,22,"GSE209581	ID: 200209581",GEO (RCC) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE209nnn/GSE209581/,,,
Macrophages in Crohn’s disease creeping fat are predominantly inflammatory and produce calprotectin,Homo sapiens,Expression profiling by array,GPL24324 22 Samples,22,"GSE148233	ID: 200148233",GEO (CEL) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE148nnn/GSE148233/,,,
Transcriptomics analysis of mesenteric adipose tissue from Crohn's disease patients and healthy controls,Homo sapiens,Expression profiling by high throughput sequencing,GPL18573 GPL24676 22 Samples,22,"GSE157026	ID: 200157026","GEO (MTX, TSV, TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE157nnn/GSE157026/",,,
Transcriptomic analysis and high dimensional phenotypic mapping of mononuclear phagocytes in mesenteric lymph nodes reveal differences between ulcerative colitis and Crohn’s disease,Homo sapiens,Expression profiling by high throughput sequencing,GPL18573 22 Samples,22,"GSE138364	ID: 200138364",GEO (TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE138nnn/GSE138364/,,,
Mucosal gene expression profiling in (un)inflamed colon of patients with ulcerative colitis (UC),Homo sapiens,Expression profiling by array,GPL6244 21 Samples,21,"GSE48958	ID: 200048958",GEO (CEL) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE48nnn/GSE48958/,,,
Study of the Role of Pomegranate Juice Ellagitannins in the Modulation of Inflammation in Inflammatory Bowel Disease,Homo sapiens,Expression profiling by array,GPL21185 20 Samples,20,"GSE242140	ID: 200242140",GEO (TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE242nnn/GSE242140/,,,
Identification of VDR target genes in intestinal epithelial cells,Homo sapiens,Expression profiling by high throughput sequencing; Genome binding/occupancy profiling by high throughput sequencing,GPL18573 20 Samples,20,"GSE206228	ID: 200206228","GEO (BW, TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE206nnn/GSE206228/",,,
RNA-Sequencing of epithelium and colonoids from patients with pediatric inflammatory bowel disease,Homo sapiens,Expression profiling by high throughput sequencing,GPL20301 20 Samples,20,"GSE135170	ID: 200135170",GEO (TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE135nnn/GSE135170/,,,
Single-cell profiling reveals Colonic CD8 Topography in IBD,Homo sapiens,Expression profiling by high throughput sequencing,GPL20301 GPL15520 GPL24676 20 Samples,20,"GSE148837	ID: 200148837","GEO (CSV, TAR) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE148nnn/GSE148837/",,,
